t	x_d	y_d	theta_d	Vr	oz	Vdot
29.200000	5.840000	0.000000	0.000000	0.200000	0.000000	0.000000
29.300000	5.860000	0.000000	0.000000	0.200000	0.000000	0.000000
29.400000	5.880000	0.000000	0.000000	0.200000	0.000000	0.000000
29.500000	5.900000	0.000000	0.000000	0.200000	0.000000	0.000000
29.600000	5.920000	0.000000	0.000000	0.200000	0.000000	0.000000
29.700000	5.940000	0.000000	0.000000	0.200000	0.000000	0.000000
29.800000	5.960000	0.000000	0.000000	0.200000	0.000000	0.000000
29.900000	5.980000	0.000000	0.000000	0.200000	0.000000	0.000000
30.000000	6.000000	0.000000	0.000000	0.200000	0.000000	0.000000
30.100000	6.020000	0.000000	0.000000	0.200000	0.000000	0.000000
30.200000	6.040000	0.000000	0.000000	0.200000	0.000000	0.000000
30.300000	6.060000	0.000000	0.000000	0.200000	0.000000	0.000000
30.400000	6.080000	0.000000	0.000000	0.200000	0.000000	0.000000
30.500000	6.100000	0.000000	0.000000	0.200000	0.000000	0.000000
30.600000	6.120000	0.000000	0.000000	0.200000	0.000000	0.000000
30.700000	6.140000	0.000000	0.000000	0.200000	0.000000	0.000000
30.800000	6.160000	0.000000	0.000000	0.200000	0.000000	0.000000
30.900000	6.180000	0.000000	0.000000	0.200000	0.000000	0.000000
31.000000	6.200000	0.000000	0.000000	0.200000	0.000000	0.000000
31.100000	6.220000	0.000000	0.000000	0.200000	0.000000	0.000000
31.200000	6.240000	0.000000	0.000000	0.200000	0.000000	0.000000
31.300000	6.260000	0.000000	0.000000	0.200000	0.000000	0.000000
31.400000	6.280000	0.000000	0.000000	0.200000	0.000000	0.000000
31.500000	6.300000	0.000000	0.000000	0.200000	0.000000	0.000000
31.600000	6.320000	0.000000	0.000000	0.200000	0.000000	0.000000
31.700000	6.340000	0.000000	0.000000	0.200000	0.000000	0.000000
31.800000	6.360000	0.000000	0.000000	0.200000	0.000000	0.000000
31.900000	6.380000	0.000000	0.000000	0.200000	0.000000	0.000000
32.000000	6.400000	0.000000	0.000000	0.200000	0.000000	0.000000
32.100000	6.420000	0.000000	0.000000	0.200000	0.000000	0.000000
32.200000	6.440000	0.000000	0.000000	0.200000	0.000000	0.000000
32.300000	6.460000	0.000000	0.000000	0.200000	0.000000	0.000000
32.400000	6.480000	0.000000	0.000000	0.200000	0.000000	0.000000
32.500000	6.500000	0.000000	0.000000	0.200000	0.000000	0.000000
